selectBlock,category,paths,semantic,action,image3,number,image4,image1,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,ActInstr_startAbstime,ActInstr_starttime,RespgetAbsTime,Respgettime,key_resp_2.rt,date,frameRate,expName,session,participant
2,animal,trial_images_animals\r_butterfly.png,n,n,,6,,,butterfly,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,2,11,,,,,,,1399375290,385.1562951,1399375291,385.6703039,None,0.5,,388.1550602,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,object,trial_images_objects\r_wok.png,f,n,,44,,,wok,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3,3,6,,,,,,,1399375294,388.6550537,1399375294,389.1647184,None,2.5,,391.653818,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,animal,trial_images_animals\r_fox_red.png,n,n,,14,,,fox_red,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,4,4,13,,,,,,,1399375299,394.1531097,1399375300,394.6651016,None,1.5,,397.1518579,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,object,trial_images_objects\r_corkscrew.png,n,n,,41,,,corkscrew,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,5,12,,,,,,,1399375304,398.6515239,1399375304,399.1918372,3,1.5,,401.6503965,,,1399375307,401.4669968,2.274899417,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,animal,trial_images_animals\r_seal_grey.png,n,n,,26,,,seal_grey,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,1399375308,403.1499237,1399375309,403.6620321,None,3.5,,406.1486985,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,object,trial_images_objects\r_pitchfork.png,n,n,,52,,,pitchfork,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,1399375315,409.6476479,1399375315,410.1571408,None,2.5,,412.6463732,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,object,trial_images_objects\r_coping_saw.png,n,n,,40,,,coping_saw,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,1399375320,415.1456809,1399375321,415.6664668,None,1.5,,418.1443944,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,animal,trial_images_animals\r_duck_white.png,n,n,,13,,,duck_white,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,9,9,4,,,,,,,1399375325,419.6440943,1399375325,420.1564049,None,3.5,,422.6594918,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,object,trial_images_objects\r_spatula.png,n,n,,32,,,spatula,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,1399375331,426.1584189,1399375332,426.6668801,None,2.5,,429.157258,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,object,trial_images_objects\r_axe.png,n,v,,34,,,axe,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,11,11,9,,,,,,,1399375337,431.6565044,1399375337,432.1650181,3,0.5,,434.6553577,,,1399375339,433.5722538,1.406979422,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,animal,trial_images_animals\r_harvest_mouse.png,n,n,,19,,,harvest_mouse,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,12,12,8,,,,,,,1399375340,435.1552667,1399375341,435.6666938,None,1.5,,438.1540348,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,animal,trial_images_animals\r_sheep.png,n,n,,27,,,sheep1,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,13,13,5,,,,,,,1399375345,439.6537036,1399375345,440.166253,None,0.5,,442.6525143,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,,,,,,,,,,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
2,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_May_06_1215,60.0087488,semact_fmri_builder,1,bd
