selectBlock,category,paths,semantic,action,image2,number,image1,image4,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
1,object,trial_images_objects\r_computer_mouse.png,n,n,,99,computer_mouse,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,13,,,,,,,,,,,,,,,171.143810545,1396456353,1396456353,171.653143166,,,None,,2.5,174.142572675,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,object,trial_images_objects\r_hairbrush.png,n,n,,106,hairbrush,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,1,,,,,,,,,,,,,,,176.641863488,1396456358,1396456359,177.151040659,,,None,,0.5,179.6406063,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,animal,trial_images_animals\r_wallaby.png,f,v,,83,wallaby,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,6,,,,,,,,,,,,,,,180.140595584,1396456362,1396456362,180.650608265,1396456363,181.506612085,3,0.855734875484,2.5,183.139473925,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,animal,trial_images_animals\r_otter.png,n,n,,86,otter,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,185.638644,1396456367,1396456368,186.151034018,,,None,,2.5,188.637390132,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,object,trial_images_objects\r_garden clippers.png,n,n,,105,garden_clippers,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,9,,,,,,,,,,,,,,,191.136668871,1396456373,1396456373,191.644588854,,,None,,3.5,194.135420135,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,object,trial_images_objects\r_african_sickle.png,f,n,,94,african_sickle,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,7,,,,,,,,,,,,,,,197.634360505,1396456379,1396456380,198.142430505,1396456382,200.233236008,3,2.09052478623,0.5,200.649851235,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,animal,trial_images_animals\r_polecat.png,n,n,,89,polecat,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,12,,,,,,,,,,,,,,,201.149746948,1396456383,1396456383,201.665121316,,,None,,1.5,204.148531112,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
1,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
4,object,trial_images_objects\r_tweezers.png,n,n,,103,,tweezers,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1396456390,208.677798843,211.680098909,1396456393,1396456394,212.173907295,,,None,,3.5,214.678387443,,,1396456396,2014_Apr_02_1729,60.0209977082,semact_fmri_builder,002,rb006,
