selectBlock,category,paths,semantic,action,image2,number,image3,image4,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
1,animal,trial_images_animals\r_cricket_green.png,n,v,,10,,,cricket_green,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,319.4999433,1395085100,1395085100,319.9934077,None,2,322.4808794,,,,1395085095,315.4721171,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,object,trial_images_objects\r_coping_saw.png,n,n,,40,,,coping_saw,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,9,,,,,,,324.4802084,1395085104,1395085105,324.9879655,None,2,327.4789316,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,object,trial_images_objects\r_colander.png,n,n,,36,,,colander,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,8,,,,,,,329.4783753,1395085109,1395085110,329.9884297,None,1,332.4771359,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,animal,trial_images_animals\r_blackbird.png,n,n,,4,,,blackbird,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,12,,,,,,,333.4769219,1395085113,1395085114,333.9882724,None,1,336.4756566,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,object,trial_images_objects\r_staple_remover.png,n,n,,54,,,staple_remover,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,11,,,,,,,337.4754727,1395085117,1395085118,337.9839935,None,2,340.4742065,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,animal,trial_images_animals\r_harvest_mouse.png,n,n,,19,,,harvest_mouse,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,342.4736665,1395085122,1395085123,342.9846053,None,1,345.4723939,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,object,trial_images_objects\r_rasp.png,n,n,,47,,,rasp,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,5,,,,,,,346.4722137,1395085126,1395085127,346.9799443,None,2,349.4709472,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,object,trial_images_objects\r_lipstick.png,n,n,,48,,,lipstick,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,351.4703942,1395085131,1395085132,351.9776315,None,1,354.4691334,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,object,trial_images_objects\r_eyelash_curlers.png,n,n,,43,,,eyelash_curlers,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,4,,,,,,,355.4689402,1395085135,1395085136,355.9761323,None,4,358.4676822,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,object,trial_images_objects\r_pruning_shear.png,n,n,,45,,,pruning_shear,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,7,,,,,,,362.4830819,1395085143,1395085143,362.9915761,None,4,365.4818018,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,animal,trial_images_animals\r_duck_white.png,n,n,,13,,,duck_white,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,1,,,,,,,369.4805344,1395085150,1395085150,369.9923558,None,1,372.4792887,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,object,trial_images_objects\r_kettle.png,n,n,,49,,,kettle,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,10,,,,,,,373.4790753,1395085153,1395085154,373.9895897,None,1,376.4778238,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,animal,trial_images_animals\r_camel.png,f,n,,7,,,camel,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,13,,,,,,,377.4776237,1395085157,1395085158,377.9904484,3,2,380.4765029,1395085159,378.8936558,0.902910321,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,object,trial_images_objects\r_pizza_slicer.png,n,n,,57,,,pizza_slicer,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,3,,,,,,,382.4758223,1395085162,1395085163,382.9830949,None,2,385.474547,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,animal,trial_images_animals\r_frog.png,n,v,,15,,,frog,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,387.473997,1395085167,1395085168,387.9942106,3,1,390.4728322,1395085169,388.6567244,0.662253906,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,,,,,,,,,,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
1,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_17_1933,60.03907199,semact_fmri_builder,1,lc
