selectBlock,category,paths,semantic,action,image1,number,image2,image3,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
2,animal,trial_images_animals\r_fox_red.png,n,n,,14,fox_red,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,277.6621039,1411743103,1411743104,278.1748833,,,None,,1.5,280.6608669,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,animal,trial_images_animals\r_kangaroo_red.png,f,v,,23,kangaroo_red,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,5,,,,,,,,,,,,,,,282.1604947,1411743108,1411743108,282.6750684,1411743109,283.476545,3,0.80120227,0.5,285.1593918,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,animal,trial_images_animals\r_camel.png,f,n,,7,camel,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,4,,,,,,,,,,,,,,,285.659322,1411743111,1411743112,286.171828,,,None,,1.5,288.6581029,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,object,trial_images_objects\r_rasp.png,n,n,,47,rasp,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,7,,,,,,,,,,,,,,,290.1577545,1411743116,1411743116,290.6657524,,,None,,1.5,293.1565526,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,object,trial_images_objects\r_eyelash_curlers.png,n,n,,43,eyelash_curlers,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,3,,,,,,,,,,,,,,,294.6562281,1411743120,1411743121,295.1632367,,,None,,1.5,297.6550484,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,animal,trial_images_animals\r_swan_bewick.png,n,n,,30,swan_bewick,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,10,,,,,,,,,,,,,,,299.171301,1411743125,1411743125,299.6825546,,,None,,0.5,302.1701512,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,animal,trial_images_animals\r_cricket_green.png,n,v,,10,cricket_green,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,12,,,,,,,,,,,,,,,302.6701144,1411743128,1411743129,303.1815316,,,None,,2.5,305.6689444,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
2,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,animal,trial_images_animals\r_stoat.png,n,n,,29,,stoat,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,3,,,,,,,,,1411743137,311.1897646,314.1999366,1411743140,1411743140,314.6965616,1411743142,316.2986888,3,1.601783332,1.5,317.182013,,,1411743143,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,object,trial_images_objects\r_rolling_pin.png,n,n,,56,,rolling_pin,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,7,,,,,,,,,,,318.6814256,1411743144,1411743145,319.192924,,,None,,1.5,321.6802309,,,1411743147,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,animal,trial_images_animals\r_frog.png,n,v,,15,,frog,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,12,,,,,,,,,,,323.1799134,1411743149,1411743149,323.6908123,1411743151,325.062304,3,1.371213438,1.5,326.1787594,,,1411743152,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,animal,trial_images_animals\r_springbok.png,f,n,,28,,springbok,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,10,,,,,,,,,,,327.6783607,1411743153,1411743154,328.2070721,1411743156,330.2438257,3,2.036473482,2.5,330.693899,,,1411743156,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,animal,trial_images_animals\r_butterfly.png,n,n,,6,,butterfly,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,333.1931752,1411743159,1411743159,333.7114217,,,None,,0.5,336.1918748,,,1411743162,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,object,trial_images_objects\r_lipstick.png,n,n,,48,,lipstick,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,13,,,,,,,,,,,336.6919008,1411743162,1411743163,337.1996167,,,None,,2.5,339.6907151,,,1411743165,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,object,trial_images_objects\r_compass.png,n,n,,37,,compass,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,9,,,,,,,,,,,342.1899985,1411743168,1411743168,342.6970407,,,None,,0.5,345.1888225,,,1411743171,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,animal,trial_images_animals\r_bug_common.png,n,n,,3,,bug_common,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,0,,,,,,,,,,,345.6888089,1411743171,1411743172,346.201307,1411743174,347.8044789,3,1.602907121,0.5,348.6877032,,,1411743174,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,object,trial_images_objects\r_pasta_spoon.png,n,n,,50,,pasta_spoon,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,1,,,,,,,,,,,349.1876211,1411743175,1411743175,349.698303,,,None,,1.5,352.1864201,,,1411743178,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,animal,trial_images_animals\r_seal_grey.png,n,n,,26,,seal_grey,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,2,,,,,,,,,,,353.6860883,1411743179,1411743180,354.1975112,,,None,,1.5,356.6849165,,,1411743182,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,animal,trial_images_animals\r_rabbit.png,n,v,,18,,rabbit,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,11,,,,,,,,,,,358.1845794,1411743184,1411743184,358.6943032,,,None,,1.5,361.1833825,,,1411743187,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,object,trial_images_objects\r_staple_remover.png,n,n,,54,,staple_remover,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,8,,,,,,,,,,,362.6830417,1411743188,1411743189,363.1938305,,,None,,1.5,365.6817972,,,1411743191,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,object,trial_images_objects\r_nail_file.png,n,n,,53,,nail_file,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,6,,,,,,,,,,,367.1815262,1411743193,1411743193,367.6925718,,,None,,2.5,370.1802261,,,1411743196,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,object,trial_images_objects\r_chi_instrument.png,f,n,,31,,chi_instrument,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,5,,,,,,,,,,,372.6796218,1411743198,1411743199,373.1888454,1411743200,374.6286414,3,1.439520964,2.5,375.6784748,,,1411743201,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
3,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,object,trial_images_objects\r_pepper_mill.png,n,n,,35,,,peppemill,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,4,,,,,,,384.2263552,1411743210,1411743211,384.7174611,,,None,,1.5,387.2079127,1411743207,381.2162863,1411743213,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,animal,trial_images_animals\r_owl.png,n,n,,25,,,owl2,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,8,,,,,,,388.7074494,1411743214,1411743215,389.2186453,,,None,,0.5,391.7062036,,,1411743217,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,object,trial_images_objects\r_toothbrush.png,n,n,,38,,,toothbrush,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,3,,,,,,,392.2061768,1411743218,1411743219,392.7167916,,,None,,3.5,395.2050201,,,1411743221,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,animal,trial_images_animals\r_sheep.png,n,n,,27,,,sheep1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,10,,,,,,,398.7040062,1411743224,1411743225,399.2156986,,,None,,0.5,401.7027846,,,1411743227,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,object,trial_images_objects\r_colander.png,n,n,,36,,,colander,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,13,,,,,,,402.2027653,1411743228,1411743229,402.7132379,,,None,,1.5,405.2015787,,,1411743231,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,object,trial_images_objects\r_spanner.png,n,n,,55,,,spanner,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,406.7012509,1411743232,1411743233,407.2091301,,,None,,1.5,409.7000667,,,1411743235,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,animal,trial_images_animals\r_bat.png,n,n,,2,,,bat,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,1,,,,,,,411.1997474,1411743237,1411743238,411.7097178,,,None,,1.5,414.2151508,,,1411743240,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,animal,trial_images_animals\r_horse.png,n,n,,21,,,horse,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,11,,,,,,,415.7148299,1411743242,1411743242,416.2259145,,,None,,1.5,418.7136304,,,1411743245,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,animal,trial_images_animals\r_deer_roe.png,n,n,,11,,,deer_roe,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,2,,,,,,,420.2132748,1411743246,1411743247,420.7220112,,,None,,0.5,423.2120903,,,1411743249,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,animal,trial_images_animals\r_goat.png,n,n,,16,,,goat1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,12,,,,,,,423.7120671,1411743250,1411743250,424.2239962,,,None,,3.5,426.7108896,,,1411743253,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,animal,trial_images_animals\r_mole.png,n,n,,20,,,mole,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,0,,,,,,,430.209879,1411743256,1411743257,430.7198624,,,None,,0.5,433.2086866,,,1411743259,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,animal,trial_images_animals\r_harvest_mouse.png,n,n,,19,,,harvest_mouse,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,6,,,,,,,433.7086664,1411743259,1411743260,434.219703,,,None,,0.5,436.7074491,,,1411743262,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,animal,trial_images_animals\r_seagull_herring.png,n,n,,17,,,seagull_herring,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,9,,,,,,,437.2074228,1411743263,1411743264,437.7194147,,,None,,1.5,440.2062468,,,1411743266,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,animal,trial_images_animals\r_badger.png,n,n,,1,,,badger1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,7,,,,,,,441.7059108,1411743267,1411743268,442.2181795,,,None,,0.5,444.7047321,,,1411743270,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
4,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1549,60.00434696,semact_fmri_builder,1,jd_019
