selectBlock,category,paths,semantic,action,image1,number,image3,image4,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2loop.thisTrial,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,RespgetTime,key_resp_2.rt,startfixtime,ActInstr_startAbstime,ActInstr_starttime,startfixAbstime,Respgettime,date,frameRate,expName,session,participant
3,animal,trial_images_animals\r_blackbird.png,n,n,,4,blackbird,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,7,7,2,,,,,,,,,,,,,,,,1,,1394740602,249.807942,None,,,,248.7962703,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,object,trial_images_objects\r_spatula.png,n,n,,32,spatula,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,8,8,7,,,,,,,,,,,,,,,,1,,1394740606,253.8018333,None,,,,252.794781,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,object,trial_images_objects\r_lipstick.png,n,n,,48,lipstick,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,9,9,14,,,,,,,,,,,,,,,,4,,1394740613,260.7989295,None,,,,256.7933062,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,object,trial_images_objects\r_axe.png,n,v,,34,axe,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,10,10,8,,,,,,,,,,,,,,,,1,,1394740617,264.8144107,None,,,,263.8074004,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,object,trial_images_objects\r_wok.png,f,n,,44,wok,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,11,11,9,,,,,,,,,,,,,,,,2,,1394740622,269.8141717,3,1394740623,270.9042668,1.089818013,267.8059148,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,object,trial_images_objects\r_paintbrush.png,n,v,,58,paintbrush,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,12,12,5,,,,,,,,,,,,,,,,1,,1394740626,273.8142302,None,,,,272.8041442,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,object,trial_images_objects\r_spanner.png,n,n,,55,spanner,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,13,13,1,,,,,,,,,,,,,,,,2,,1394740631,278.8094267,None,,,,276.802583,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,animal,trial_images_animals\r_bat.png,n,n,,2,bat,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,14,14,0,,,,,,,,,,,,,,,,3,,1394740637,284.8092402,None,,,,281.8007548,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_13_1953,60.01876839,semact_fmri_builder,1,kw
