selectBlock,category,paths,semantic,action,image1,number,image4,image3,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,ActInstr_startAbstime,ActInstr_starttime,RespgetAbsTime,Respgettime,key_resp_2.rt,startJitAbstime,date,frameRate,expName,session,participant,
4,object,trial_images_objects\r_computer_mouse.png,n,n,,99,computer_mouse,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,13,,,,,,,,,,,,,,,157.192299694,1407428598,1407428598,157.700313036,None,2.5,160.19099515,,,,,,1407428601,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,object,trial_images_objects\r_stapler.png,n,n,,97,stapler,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,162.690180037,1407428603,1407428604,163.202788861,3,2.5,165.688951255,,,1407428605,164.372628498,1.16955379611,1407428606,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,animal,trial_images_animals\r_penguin.png,f,n,,84,penguin,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,2,,,,,,,,,,,,,,,168.188097809,1407428609,1407428609,168.697972887,None,2.5,171.186779079,,,,,,1407428612,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,object,trial_images_objects\r_garden clippers.png,n,n,,105,garden_clippers,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,173.686002601,1407428614,1407428615,174.194456023,None,3.5,176.701282237,,,,,,1407428617,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,animal,trial_images_animals\r_koala.png,f,n,,88,koala,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,8,,,,,,,,,,,,,,,180.200153817,1407428621,1407428621,180.719363533,3,0.5,183.198863158,,,1407428623,182.39900641,1.67935764074,1407428624,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,object,trial_images_objects\r_tin_opener.png,n,n,,95,tin_opener,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,6,,,,,,,,,,,,,,,183.698834634,1407428624,1407428625,184.209405147,3,2.5,186.697522243,,,1407428626,185.597747927,1.38808199244,1407428627,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,object,trial_images_objects\r_scoop.png,n,n,,110,scoop,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,5,,,,,,,,,,,,,,,189.196686605,1407428630,1407428630,189.706461473,None,0.5,192.195389004,,,,,,1407428633,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
3,object,trial_images_objects\r_bottle_cleaner.png,n,n,,98,,bottle_cleaner,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,1407428636,195.707294546,198.727340805,1407428639,1407428640,199.216321158,None,1.5,201.708500086,,,,,,1407428642,2014_Aug_07_1720,60.0234619725,semact_fmri_builder,002,md014,
