selectBlock,category,paths,semantic,action,image3,number,image1,image2,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant
2,animal,trial_images_animals\r_fox_red.png,n,n,,14,,fox_red,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,6,,,,,,,,,,,1407170091,445.6314675,1407170091,446.1424926,None,0.5,,448.6301982,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
2,object,trial_images_objects\r_spanner.png,n,n,,55,,spanner,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,8,,,,,,,,,,,1407170094,449.1301738,1407170095,449.6375126,None,1.5,,452.1289492,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
2,animal,trial_images_animals\r_swan_bewick.png,n,n,,30,,swan_bewick,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,1407170099,453.6286313,1407170099,454.1408864,None,0.5,,456.6274119,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
2,animal,trial_images_animals\r_owl.png,n,n,,25,,owl2,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,9,,,,,,,,,,,1407170102,457.1274146,1407170103,457.6386071,3,0.5,,460.1263089,1407170105,459.609817,1.970835308,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
2,animal,trial_images_animals\r_rabbit.png,n,v,,18,,rabbit,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,1407170106,460.6261824,1407170106,461.1354827,3,0.5,,463.6250251,1407170109,463.3417174,2.205966356,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
2,object,trial_images_objects\r_rolling_pin.png,n,n,,56,,rolling_pin,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,4,,,,,,,,,,,1407170109,464.1249352,1407170110,464.6362748,None,1.5,,467.1237682,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
2,animal,trial_images_animals\r_stoat.png,n,n,,29,,stoat,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,5,,,,,,,,,,,1407170114,468.6234093,1407170114,469.1362754,None,1.5,,471.6222122,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
2,object,trial_images_objects\r_kettle.png,n,n,,49,,kettle,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,12,,,,,,,,,,,1407170118,473.1218548,1407170119,473.6418967,3,3.5,,476.1207618,1407170120,474.8877443,1.245590433,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
2,animal,trial_images_animals\r_dragonfly.png,n,n,,12,,dragonfly,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,11,,,,,,,,,,,1407170125,479.6196558,1407170125,480.1313259,None,2.5,,482.6184267,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
2,object,trial_images_objects\r_spatula.png,n,n,,32,,spatula,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,1407170130,485.1343752,1407170131,485.6421741,None,1.5,,488.1331621,,,,,,2014_Aug_04_1729,60.01626806,semact_fmri_builder,1,es013
