selectBlock,category,paths,semantic,action,image2,number,image3,image1,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
3,animal,trial_images_animals\r_mole.png,n,n,,20,mole,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,7,7,12,,,,,,,,,,,,,,,516.241696,1397060696,1397060697,516.7518573,1397060698,518.3239431,4,1.57181415,2.5,519.2404367,,,1397060699,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,animal,trial_images_animals\r_stoat.png,n,n,,29,stoat,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,8,8,7,,,,,,,,,,,,,,,521.7396023,1397060702,1397060702,522.2521243,1397060704,523.7218997,4,1.46950891,0.5,524.7383726,,,1397060705,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,object,trial_images_objects\r_maracas.png,f,v,,60,maracas,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,9,9,0,,,,,,,,,,,,,,,525.2382638,1397060705,1397060706,525.7485011,1397060707,526.7707464,4,1.021968798,0.5,528.237054,,,1397060708,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,animal,trial_images_animals\r_goat.png,n,n,,16,goat1,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,10,10,2,,,,,,,,,,,,,,,528.7369325,1397060709,1397060709,529.2481998,,,None,,1.5,531.7356464,,,1397060712,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,object,trial_images_objects\r_paintbrush.png,n,v,,58,paintbrush,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,533.2352635,1397060713,1397060714,533.7455458,,,None,,1.5,536.233955,,,1397060716,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,animal,trial_images_animals\r_horse.png,n,n,,21,horse,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,12,12,3,,,,,,,,,,,,,,,537.7335758,1397060718,1397060718,538.2452912,,,None,,2.5,540.7322377,,,1397060721,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,object,trial_images_objects\r_chi_instrument.png,f,n,,31,chi_instrument,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,543.2481578,1397060723,1397060724,543.7571833,1397060725,544.6139929,4,0.856546163,3.5,546.2469076,,,1397060726,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,animal,trial_images_animals\r_duck_white.png,n,n,,13,,duck_white,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,13,,,,,,,,,,,555.7785122,1397060736,1397060736,556.2709766,,,None,,3.5,558.7588005,1397060733,552.754163,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,object,trial_images_objects\r_rolling_pin.png,n,n,,56,,rolling_pin,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,562.2575242,1397060742,1397060743,562.7692067,,,None,,2.5,565.2562048,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,animal,trial_images_animals\r_sheep.png,n,n,,27,,sheep1,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,567.7554462,1397060748,1397060748,568.2731679,,,None,,0.5,570.7541226,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,animal,trial_images_animals\r_badger.png,n,n,,1,,badger1,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,571.2540769,1397060751,1397060752,571.768105,,,None,,0.5,574.2528318,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
1,object,trial_images_objects\r_corkscrew.png,n,n,,41,,corkscrew,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,574.7527794,1397060755,1397060755,575.261232,,,None,,1.5,577.7514942,,,,2014_Apr_09_1722,60.02212093,semact_fmri_builder,1,sz
