selectBlock,category,paths,semantic,action,image3,number,image4,image2,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,ActInstr_startAbstime,ActInstr_starttime,RespgetAbsTime,Respgettime,key_resp_2.rt,date,frameRate,expName,session,participant,
4,object,trial_images_objects\r_shisha.png,f,n,,120,shisha,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,3,,,,,,,,,,,,,,,1397061112,194.840502479,1397061112,195.350780573,4,2.5,1397061115,197.839270369,,,1397061114,197.489239868,2.1381758681,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,object,trial_images_objects\r_nailclipper.png,n,n,,113,nailclipper,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,2,,,,,,,,,,,,,,,1397061117,200.338466721,1397061118,200.845762035,None,1.5,1397061120,203.337134099,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,animal,trial_images_animals\r_moth.png,n,n,,66,,moth,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,12,,,,,,,,,,,1397061128,210.88537306,1397061128,211.378332801,4,0.5,,213.866612517,1397061125,207.861403066,1397061129,212.083743005,0.705075162609,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,animal,trial_images_animals\r_hare.png,n,v,,78,,hare,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,1397061131,214.366347954,1397061132,214.87581742,4,1.5,,217.365104676,,,1397061133,216.182179868,1.30608203942,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,animal,trial_images_animals\r_vole.png,n,n,,79,,vole,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,1397061136,218.864662934,1397061136,219.375305349,None,2.5,,221.863365325,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,object,trial_images_objects\r_pencil.png,n,n,,111,,pencil,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,8,,,,,,,,,,,1397061141,224.362588843,1397061142,224.87136136,None,0.5,,227.361288517,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,object,trial_images_objects\r_paint_roller.png,n,v,,117,,paint_roller,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,1397061145,227.861253051,1397061145,228.369905135,None,1.5,,230.859979891,,,,,,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
2,animal,trial_images_animals\r_toad.png,n,v,,75,,toad,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,10,,,,,,,,,,,1397061149,232.359573766,1397061150,232.870995229,4,3.5,,235.358398402,,,1397061150,233.508949698,0.63768884977,2014_Apr_09_1728,60.0187501019,semact_fmri_builder,002,sz,
