selectBlock,category,paths,semantic,action,image1,number,image3,image4,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJittime,startJitAbstime,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant
3,animal,trial_images_animals\r_seagull_herring.png,n,n,,17,seagull_herring,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,11,11,3,,,,,,,,,,,,,,,261.6026871,1411119055,1411119056,262.1151747,,,None,,2.5,264.6014124,1411119058,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
3,animal,trial_images_animals\r_frog.png,n,v,,15,frog,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,12,12,2,,,,,,,,,,,,,,,267.117357,1411119061,1411119061,267.6266426,,,None,,3.5,270.1160938,1411119064,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
3,animal,trial_images_animals\r_horse.png,n,n,,21,horse,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,0,13,13,1,,,,,,,,,,,,,,,273.6150065,1411119067,1411119068,274.1264416,,,None,,1.5,276.6136935,1411119070,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
3,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,object,trial_images_objects\r_nail_file.png,n,n,,53,,nail_file,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,11,,,,,,,,,,,284.1452866,1411119078,1411119078,284.6362205,,,None,,0.5,287.1267208,1411119081,1411119075,281.1327142,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,object,trial_images_objects\r_compass.png,n,n,,37,,compass,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,287.6266565,1411119081,1411119082,288.1329666,,,None,,1.5,290.6252798,1411119084,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,object,trial_images_objects\r_spatula.png,n,n,,32,,spatula,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,5,,,,,,,,,,,292.1249167,1411119086,1411119086,292.6323188,1411119087,293.557479,3,0.924858918,3.5,295.1237624,1411119089,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,object,trial_images_objects\r_corkscrew.png,n,n,,41,,corkscrew,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,298.6225898,1411119092,1411119093,299.1305361,1411119094,300.5549199,3,1.424103402,2.5,301.6214002,1411119095,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
4,object,trial_images_objects\r_toothbrush.png,n,n,,38,,toothbrush,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,7,,,,,,,,,,,304.1205617,1411119098,1411119098,304.6310423,,,None,,2.5,307.1192942,1411119101,,,2014_Sep_19_1028,60.02221188,semact_fmri_builder,1,WE018
