selectBlock,category,paths,semantic,action,image3,number,image1,image2,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,ActInstr_startAbstime,ActInstr_starttime,date,frameRate,expName,session,participant
1,object,trial_images_objects\r_toothbrush.png,n,n,,38,toothbrush,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,1406740924,675.7143814,1406740924,676.225893,,,None,,1.5,,678.7130735,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,animal,trial_images_animals\r_kangaroo_red.png,f,v,,23,kangaroo_red,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,5,,,,,,,,,,,,,,,1406740928,680.212717,1406740929,680.7250789,1406740930,681.745264,3,1.019913685,1.5,,683.2114958,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,object,trial_images_objects\r_wok.png,f,n,,44,wok,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,10,,,,,,,,,,,,,,,1406740933,684.7110213,1406740933,685.2220847,1406740935,687.5431422,3,2.320761135,1.5,,687.7098012,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,object,trial_images_objects\r_compass.png,n,n,,37,compass,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,9,,,,,,,,,,,,,,,1406740937,689.2093415,1406740938,689.7810886,,,None,,2.5,,692.2080487,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,object,trial_images_objects\r_paintbrush.png,n,v,,58,paintbrush,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,4,,,,,,,,,,,,,,,1406740943,694.7073038,1406740943,695.2190493,,,None,,1.5,,697.7060354,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,object,trial_images_objects\r_pliers.png,n,n,,59,pliers,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,7,,,,,,,,,,,,,,,1406740947,699.2056107,1406740948,699.7715866,,,None,,3.5,,702.2042999,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,object,trial_images_objects\r_knife_table.png,n,n,,42,knife_table,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,1406740954,705.7032123,1406740954,706.2125582,,,None,,3.5,,708.7018918,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
1,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,animal,trial_images_animals\r_swan_bewick.png,n,n,,30,,swan_bewick,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,1406740966,718.2490231,1406740967,718.7439932,,,None,,0.5,,721.2306738,1406740963,715.2237233,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,animal,trial_images_animals\r_mole.png,n,n,,20,,mole,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,11,,,,,,,,,,,1406740970,721.7305172,1406740970,722.2556376,,,None,,0.5,,724.7292594,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,animal,trial_images_animals\r_fox_red.png,n,n,,14,,fox_red,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,1406740973,725.2292582,1406740974,725.7911792,,,None,,2.5,,728.2279579,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,animal,trial_images_animals\r_goat.png,n,n,,16,,goat1,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,1406740979,730.7271828,1406740979,731.2399304,1406740980,732.3765333,3,1.136286228,1.5,,733.7260059,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,animal,trial_images_animals\r_cow_dairy.png,n,n,,9,,cow_dairy,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,13,,,,,,,,,,,1406740983,735.2255317,1406740984,735.7399096,,,None,,1.5,,738.224209,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,object,trial_images_objects\r_axe.png,n,v,,34,,axe,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,1406740988,739.7238788,1406740988,740.2325365,1406740990,741.8062069,3,1.573403606,0.5,,742.7226636,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,animal,trial_images_animals\r_harvest_mouse.png,n,n,,19,,harvest_mouse,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,10,,,,,,,,,,,1406740991,743.2225474,1406740992,743.7350886,,,None,,3.5,,746.2212223,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,animal,trial_images_animals\r_rabbit.png,n,v,,18,,rabbit,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,12,,,,,,,,,,,1406740998,749.7201462,1406740998,750.2300469,1406740999,751.3693096,3,1.13898801,0.5,,752.7189114,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,object,trial_images_objects\r_pasta_spoon.png,n,n,,50,,pasta_spoon,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,4,,,,,,,,,,,1406741001,753.2188085,1406741002,753.7307713,,,None,,1.5,,756.2174514,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,object,trial_images_objects\r_spatula.png,n,n,,32,,spatula,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,8,,,,,,,,,,,1406741006,757.7171495,1406741006,758.2256654,1406741008,759.799516,3,1.573583202,2.5,,760.7159428,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,animal,trial_images_animals\r_seagull_herring.png,n,n,,17,,seagull_herring,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,0,,,,,,,,,,,1406741011,763.2317626,1406741012,763.7451233,,,None,,3.5,,766.2304411,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
2,object,trial_images_objects\r_staple_remover.png,n,n,,54,,staple_remover,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,6,,,,,,,,,,,1406741018,769.7293138,1406741018,770.2394218,,,None,,0.5,,772.7280182,,,2014_Jul_30_1817,60.03776601,semact_fmri_builder,1,bw012
