selectBlock,category,paths,semantic,action,image1,number,image3,image2,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,RespgetTime,key_resp_2.rt,startfixtime,ActInstr_startAbstime,ActInstr_starttime,Respgettime,startfixAbstime,date,frameRate,expName,session,participant
2,object,trial_images_objects\r_rolling_pin.png,n,n,,56,,rolling_pin,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,4,417.8875805,1393511651,421.9000286,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,object,trial_images_objects\r_pliers.png,n,n,,59,,pliers,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,3,424.8849572,1393511657,427.8966184,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_harvest_mouse.png,n,n,,19,,harvest_mouse,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,12,,,,,,,,,,,2,430.882815,1393511662,432.8928112,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_horse.png,n,n,,21,,horse,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,1,435.8810184,1393511666,436.8936654,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,object,trial_images_objects\r_cleaningbrush.png,n,n,,46,,cleaningbrush,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,5,5,11,,,,,,,,,,,2,439.8795804,1393511671,441.9101362,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_frog.png,n,v,,15,,frog,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,6,6,5,,,,,,,,,,,4,444.8944605,1393511678,448.907064,3,1393511679,,0.685020456,,,,449.5924002,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,object,trial_images_objects\r_spatula.png,n,n,,32,,spatula,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,7,7,14,,,,,,,,,,,1,451.8920831,1393511682,452.8997527,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_cricket_green.png,n,v,,10,,cricket_green,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,8,8,13,,,,,,,,,,,1,455.8904807,1393511686,456.9027712,3,1393511687,,0.786376103,,,,457.6894081,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_cow_dairy.png,n,n,,9,,cow_dairy,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,9,9,2,,,,,,,,,,,4,459.8891127,1393511693,463.9028826,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,object,trial_images_objects\r_pepper_mill.png,n,n,,35,,peppemill,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,10,10,0,,,,,,,,,,,1,466.8865171,1393511697,467.8934916,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_goat.png,n,n,,16,,goat1,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,11,11,9,,,,,,,,,,,2,470.8850553,1393511702,472.8964955,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,object,trial_images_objects\r_broom.png,n,n,,33,,broom,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,12,12,10,,,,,,,,,,,4,475.8832723,1393511709,479.8884242,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,animal,trial_images_animals\r_sheep.png,n,n,,27,,sheep1,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,13,13,7,,,,,,,,,,,3,482.8807413,1393511715,485.8943328,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,object,trial_images_objects\r_rasp.png,n,n,,47,,rasp,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,14,14,8,,,,,,,,,,,1,488.8952468,1393511719,489.9058237,None,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
2,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_stoat.png,n,n,,29,,,stoat,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,2,,,,,,,3,,1393511734,504.9199911,None,,,,501.923635,1393511726,496.9166793,,1393511731,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_seagull_herring.png,n,n,,17,,,seagull_herring,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,8,,,,,,,4,,1393511741,511.9170095,None,,,,507.9052886,,,,1393511737,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,object,trial_images_objects\r_pasta_spoon.png,n,n,,50,,,pasta_spoon,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,3,,,,,,,2,,1393511746,516.9295397,None,,,,514.9026788,,,,1393511744,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_bulldog_english.png,n,n,,5,,,bulldog_english,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,9,,,,,,,3,,1393511752,522.9312542,None,,,,519.9175453,,,,1393511749,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_bug_common.png,n,n,,3,,,bug_common,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,4,,1393511759,529.9248252,3,1393511760,530.6632209,0.738085119,525.9154351,,,,1393511755,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_deer_roe.png,n,n,,11,,,deer_roe,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,10,,,,,,,2,,1393511764,534.9221137,None,,,,532.9130403,,,,1393511762,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_owl.png,n,n,,25,,,owl2,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,12,,,,,,,1,,1393511768,538.9221575,None,,,,537.9110749,,,,1393511767,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_seal_grey.png,n,n,,26,,,seal_grey,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,13,,,,,,,3,,1393511774,544.9231949,None,,,,541.9096125,,,,1393511771,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_bat.png,n,n,,2,,,bat,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,11,,,,,,,3,,1393511780,550.9198502,None,,,,547.9074501,,,,1393511777,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_duck_white.png,n,n,,13,,,duck_white,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,0,,,,,,,2,,1393511785,555.9160841,None,,,,553.9053538,,,,1393511783,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_fox_red.png,n,n,,14,,,fox_red,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,1,,,,,,,4,,1393511792,562.9296239,None,,,,558.9035161,,,,1393511788,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_springbok.png,f,n,,28,,,springbok,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,6,,,,,,,1,,1393511796,566.9282176,None,,,,565.9176419,,,,1393511795,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_badger.png,n,n,,1,,,badger1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,7,,,,,,,1,,1393511800,570.9298772,None,,,,569.9162163,,,,1393511799,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_mole.png,n,n,,20,,,mole,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,14,,,,,,,1,,1393511804,574.9282541,None,,,,573.9147834,,,,1393511803,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,object,trial_images_objects\r_eyelash_curlers.png,n,n,,43,,,eyelash_curlers,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,14,14,5,,,,,,,4,,1393511811,581.9204696,None,,,,577.9133508,,,,1393511807,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
4,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1427,60.02235694,semact_fmri_builder,1,ag
