selectBlock,category,paths,semantic,action,image2,number,image4,image3,image1,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1loop.thisTrial,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,FixDur,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,RespgetAbsTime,Respgettime,key_resp_2.rt,startfixAbstime,startfixtime,RespgetTime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
4,animal,trial_images_animals\r_grasshopper_common.png,n,v,,70,grasshopper_common,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,,,3,,1393508421,200.0301914,3,1393508421,,0.719241234,1393508418,197.0182326,200.7496974,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,object,trial_images_objects\r_shisha.png,f,n,,120,shisha,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,1,,1393508425,204.0254633,None,,,,1393508424,203.0161288,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_duck_mallard.png,n,n,,73,duck_mallard,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,11,,,,,,,,,,,,,,,,4,,1393508432,211.0248871,None,,,,1393508428,207.0146295,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,object,trial_images_objects\r_scissors.png,n,n,,114,scissors,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,1,,,,,,,,,,,,,,,,4,,1393508439,218.0210446,None,,,,1393508435,214.0120907,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,object,trial_images_objects\r_squeezer.png,n,n,,101,squeezer,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,3,,,,,,,,,,,,,,,,3,,1393508445,224.0381544,None,,,,1393508442,221.0262412,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,animal,trial_images_animals\r_toad.png,n,v,,75,toad,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,7,,,,,,,,,,,,,,,,1,,1393508449,228.0375646,3,1393508449,,0.668482969,1393508448,227.0240942,228.7063165,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,object,trial_images_objects\r_garden clippers.png,n,n,,105,garden_clippers,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,10,,,,,,,,,,,,,,,,3,,1393508455,234.02995,None,,,,1393508452,231.022747,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,object,trial_images_objects\r_crosscut_saw.png,n,n,,100,crosscut_saw,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,5,,,,,,,,,,,,,,,,4,,1393508462,241.0309907,None,,,,1393508458,237.0205255,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
4,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Feb_27_1337,60.01507189,semact_fmri_builder,1,ag
