selectBlock,category,paths,semantic,action,image2,number,image3,image1,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,SemInstr_startAbstime,SemInstr_starttime,startJitAbstime,RespgetAbsTime,Respgettime,key_resp_2.rt,date,frameRate,expName,session,participant
4,animal,trial_images_animals\r_rabbit.png,n,v,,18,,,rabbit,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,1,,,,,,,370.9270352,1397147406,1397147407,371.4365261,3,2.5,373.925801,,,1397147409,1397147408,372.2928754,0.856088839,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,object,trial_images_objects\r_spatula.png,n,n,,32,,,spatula,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,13,,,,,,,376.4249442,1397147412,1397147412,376.9335456,None,1.5,379.4235905,,,1397147415,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,object,trial_images_objects\r_rolling_pin.png,n,n,,56,,,rolling_pin,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,380.9231799,1397147416,1397147417,381.4357014,None,1.5,383.9218605,,,1397147419,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,animal,trial_images_animals\r_harvest_mouse.png,n,n,,19,,,harvest_mouse,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,11,,,,,,,385.4214725,1397147421,1397147421,385.9326135,3,0.5,388.420196,,,1397147424,1397147423,387.9035719,1.970681281,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,animal,trial_images_animals\r_deer_roe.png,n,n,,11,,,deer_roe,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,9,,,,,,,388.9201153,1397147424,1397147425,389.4296448,3,1.5,391.9355428,,,1397147427,1397147426,390.3026139,0.872700788,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,object,trial_images_objects\r_lipstick.png,n,n,,48,,,lipstick,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,3,,,,,,,393.4350815,1397147429,1397147429,393.9426626,None,1.5,396.4337235,,,1397147432,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,animal,trial_images_animals\r_stoat.png,n,n,,29,,,stoat,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,0,,,,,,,397.9333298,1397147433,1397147434,398.4462676,None,2.5,400.9319993,,,1397147436,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,animal,trial_images_animals\r_squirrel_red.png,n,v,,22,,,squirrel_red,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,4,,,,,,,403.4312466,1397147439,1397147439,403.9429997,3,0.5,406.4299732,,,1397147442,1397147440,404.9970263,1.053741024,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
4,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_10_1725,60.02248327,semact_fmri_builder,1,dm
