selectBlock,category,paths,semantic,action,image1,number,image2,image3,image4,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant
2,object,trial_images_objects\r_pruning_shear.png,n,n,,45,pruning_shear,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,196.5307985,1407436948,1407436948,197.0402069,None,2.5,199.5294689,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,animal,trial_images_animals\r_rabbit.png,n,v,,18,rabbit,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,1,,,,,,,,,,,,,,,202.0286779,1407436953,1407436954,202.5379599,3,2.5,205.0273867,1407436955,203.9943906,1.456156089,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,object,trial_images_objects\r_rolling_pin.png,n,n,,56,rolling_pin,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,9,9,5,,,,,,,,,,,,,,,207.5265411,1407436959,1407436959,208.0381188,None,0.5,210.5252425,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,object,trial_images_objects\r_knife_table.png,n,n,,42,knife_table,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,10,10,0,,,,,,,,,,,,,,,211.0251929,1407436962,1407436963,211.5340511,None,1.5,214.0405151,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,object,trial_images_objects\r_cleaningbrush.png,n,n,,46,cleaningbrush,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,11,11,3,,,,,,,,,,,,,,,215.5401343,1407436967,1407436967,216.0525687,None,1.5,218.5388216,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,object,trial_images_objects\r_wok.png,f,n,,44,wok,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,12,12,2,,,,,,,,,,,,,,,220.0383729,1407436971,1407436972,220.5494376,None,0.5,223.0370699,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,object,trial_images_objects\r_kettle.png,n,n,,49,kettle,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,0,13,13,11,,,,,,,,,,,,,,,223.5370429,1407436975,1407436975,224.0465633,None,0.5,226.535739,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
2,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
3,animal,trial_images_animals\r_fox_red.png,n,n,,14,,fox_red,,,,,,0,2,2,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,11,,,,,,,,,1407436981,230.0565131,233.0666298,1407436984,1407436985,233.5614975,None,1.5,236.0490471,,,,,,1407436987,2014_Aug_07_1939,60.02335323,semact_fmri_builder,1,sh015
