selectBlock,category,paths,semantic,action,image1,number,image2,image4,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,SemInstr_startAbstime,SemInstr_starttime,startFixtime,startFixAbstime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,ActInstr_startAbstime,ActInstr_starttime,startJitAbstime,date,frameRate,expName,session,participant,
4,object,trial_images_objects\r_whisk.png,n,n,,116,,whisk,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,12,12,13,,,,,,,,,,,272.637331617,1396542776,1396542777,273.146460537,None,3.5,275.63604426,,,,,,1396542779,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,object,trial_images_objects\r_key.png,n,n,,108,,key,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,13,13,3,,,,,,,,,,,279.134952496,1396542783,1396542784,279.641627437,None,1.5,282.150315063,,,,,,1396542786,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
4,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,animal,trial_images_animals\r_polecat.png,n,n,,89,,,polecat,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,12,,,,,1396542791,286.661166596,289.681923991,1396542794,1396542794,290.174292512,None,1.5,292.663211276,,,,,,1396542797,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,object,trial_images_objects\r_tin_opener.png,n,n,,95,,,tin_opener,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,10,,,,,,,294.162715349,1396542798,1396542799,294.672623022,None,2.5,297.161463911,,,,,,1396542801,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,animal,trial_images_animals\r_beaver.png,n,n,,63,,,beaver,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,1,,,,,,,299.660726208,1396542804,1396542804,300.171592834,None,0.5,302.659423155,,,,,,1396542807,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,object,trial_images_objects\r_hammer.png,n,v,,107,,,hammer,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,2,,,,,,,303.15939448,1396542807,1396542808,303.668489593,None,0.5,306.158143646,,,,,,1396542810,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,animal,trial_images_animals\r_highland_cow.png,n,n,,69,,,highland_cow,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,4,4,9,,,,,,,306.658105915,1396542811,1396542811,307.169860863,None,1.5,309.656850553,,,,,,1396542814,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,animal,trial_images_animals\r_badger2.png,n,n,,61,,,badger2,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,5,5,11,,,,,,,311.156449706,1396542815,1396542816,311.668871725,None,3.5,314.155152992,,,,,,1396542818,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,animal,trial_images_animals\r_duck_mallard.png,n,n,,73,,,duck_mallard,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,6,6,6,,,,,,,317.654077829,1396542822,1396542822,318.165081793,None,1.5,320.652793189,,,,,,1396542825,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,object,trial_images_objects\r_paint_roller.png,n,v,,117,,,paint_roller,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,7,7,4,,,,,,,322.152428563,1396542826,1396542827,322.661485342,None,3.5,325.151096835,,,,,,1396542829,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,object,trial_images_objects\r_handbell.png,n,v,,91,,,handbell,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,8,8,8,,,,,,,328.650010202,1396542833,1396542833,329.159768463,None,0.5,331.665373071,,,,,,1396542836,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,animal,trial_images_animals\r_ladybird.png,n,n,,72,,,ladybird,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,9,9,3,,,,,,,332.165358884,1396542836,1396542837,332.675746184,None,0.5,335.16409326,,,,,,1396542839,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,object,trial_images_objects\r_hairbrush.png,n,n,,106,,,hairbrush,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,10,10,7,,,,,,,335.664066999,1396542840,1396542840,336.172306691,None,1.5,338.662785377,,,,,,1396542843,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,animal,trial_images_animals\r_deer_fallow.png,n,n,,71,,,deer_fallow,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,11,11,0,,,,,,,340.162417733,1396542844,1396542845,340.671052838,None,3.5,343.161152712,,,,,,1396542847,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,object,trial_images_objects\r_scissors.png,n,n,,114,,,scissors,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,12,12,13,,,,,,,346.660054609,1396542851,1396542851,347.166552067,None,1.5,349.65875216,,,,,,1396542854,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,object,trial_images_objects\r_african_sickle.png,f,n,,94,,,african_sickle,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,13,13,5,,,,,,,351.158360368,1396542855,1396542856,351.665274972,3,0.5,354.157317805,1396542857,353.557240775,1.89162170222,,,1396542858,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
3,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Apr_03_1728,60.0215955331,semact_fmri_builder,002,jh2,
