selectBlock,category,paths,semantic,action,number,image4,image1,image2,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
1,animal,trial_images_animals\r_mole.png,n,n,20,,mole,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,12,,,,,,,,,,,,,,,1395344254,143.1533077,1395344254,143.6628003,,,None,,3,,146.168669,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
1,object,trial_images_objects\r_pasta_spoon.png,n,n,50,,pasta_spoon,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,3,,,,,,,,,,,,,,,1395344260,149.1677284,1395344260,149.6780206,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
1,animal,trial_images_animals\r_bat.png,n,n,2,,bat,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,8,,,,,,,,,,,,,,,1395344263,152.1668238,1395344263,152.6763104,,,None,,2,,155.1653312,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
1,animal,trial_images_animals\r_cow_dairy.png,n,n,9,,cow_dairy,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,0,,,,,,,,,,,,,,,1395344268,157.1647607,1395344268,157.6771888,,,None,,2,,160.1634577,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
1,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
1,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,animal,trial_images_animals\r_kangaroo_red.png,f,v,23,,,kangaroo_red,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,1395344277,166.1825633,1395344281,170.193595,1395344281,170.6904327,1395344282,171.825817,3,1.135036001,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,animal,trial_images_animals\r_dragonfly.png,n,n,12,,,dragonfly,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,12,,,,,,,,,,,1395344284,173.1759385,1395344284,173.6875138,,,None,,1,,176.1908371,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,object,trial_images_objects\r_maracas.png,f,v,60,,,maracas,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,11,,,,,,,,,,,1395344288,177.1906174,1395344288,177.700726,1395344291,180.1560291,3,2.455022007,1,,180.1894182,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,object,trial_images_objects\r_rolling_pin.png,n,n,56,,,rolling_pin,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,1395344292,181.1891556,1395344292,181.7003098,,,None,,3,,184.1878465,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,animal,trial_images_animals\r_goat.png,n,n,16,,,goat1,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,1395344298,187.1869011,1395344298,187.6988869,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,object,trial_images_objects\r_cleaningbrush.png,n,n,46,,,cleaningbrush,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,1395344301,190.186065,1395344301,190.6948733,,,None,,2,,193.1845238,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,object,trial_images_objects\r_lipstick.png,n,n,48,,,lipstick,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,1395344306,195.1839123,1395344306,195.6914161,,,None,,3,,198.1826385,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,object,trial_images_objects\r_staple_remover.png,n,n,54,,,staple_remover,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,1395344312,201.181717,1395344312,201.6903433,,,None,,1,,204.1804157,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
2,object,trial_images_objects\r_coping_saw.png,n,n,40,,,coping_saw,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,13,,,,,,,,,,,1395344316,205.1802217,1395344316,205.6882476,,,None,,0,,,,,2014_Mar_20_1935,60.0110132,semact_fmri_builder,1,ad
