selectBlock,category,paths,semantic,action,number,image4,image1,image2,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant
1,object,trial_images_objects\r_cleaningbrush.png,n,n,46,,cleaningbrush,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,1395136937,142.6905168,1395136938,143.2005123,,,None,,1,,145.6890173,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,animal,trial_images_animals\r_deer_roe.png,n,n,11,,deer_roe,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,,,1395136941,146.6888123,1395136942,147.1996587,1395136943,148.6879035,3,1.487950418,2,,149.6875989,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,object,trial_images_objects\r_spatula.png,n,n,32,,spatula,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,13,,,,,,,,,,,,,,,1395136946,151.6870169,1395136947,152.1949895,,,None,,2,,154.6857127,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,object,trial_images_objects\r_pruning_shear.png,n,n,45,,pruning_shear,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,1,,,,,,,,,,,,,,,1395136951,156.7018088,1395136952,157.2103286,,,None,,3,,159.7005546,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,object,trial_images_objects\r_pitchfork.png,n,n,52,,pitchfork,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,8,,,,,,,,,,,,,,,1395136957,162.6996116,1395136958,163.2082875,,,None,,1,,165.6983445,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,object,trial_images_objects\r_broom.png,n,n,33,,broom,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,11,,,,,,,,,,,,,,,1395136961,166.698154,1395136962,167.204689,,,None,,3,,169.6968806,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,animal,trial_images_animals\r_camel.png,f,n,7,,camel,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,9,,,,,,,,,,,,,,,1395136967,172.6959796,1395136968,173.2101058,1395136969,174.0286072,3,0.81820978,1,,175.694758,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
1,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,object,trial_images_objects\r_nail_file.png,n,n,53,,,nail_file,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,1395136975,180.7152846,1395136979,184.7262176,1395136980,185.2188662,,,None,,1,,187.7237075,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,animal,trial_images_animals\r_bulldog_english.png,n,n,5,,,bulldog_english,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,1395136983,188.7233963,1395136984,189.238691,,,None,,2,,191.7221406,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,object,trial_images_objects\r_pen.png,n,n,51,,,pen1,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,1395136988,193.7216516,1395136989,194.230841,,,None,,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,animal,trial_images_animals\r_horse.png,n,n,21,,,horse,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,1395136991,196.720712,1395136992,197.2331878,,,None,,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,animal,trial_images_animals\r_rabbit.png,n,v,18,,,rabbit,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,11,,,,,,,,,,,1395136994,199.7195695,1395136995,200.2298274,1395136997,201.9684172,3,1.738254827,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,animal,trial_images_animals\r_fox_red.png,n,n,14,,,fox_red,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,9,,,,,,,,,,,1395136997,202.718571,1395136998,203.229304,,,None,,2,,205.7170156,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,object,trial_images_objects\r_wok.png,f,n,44,,,wok,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,1395137002,207.7164596,1395137003,208.226575,,,None,,3,,210.7151825,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,object,trial_images_objects\r_pliers.png,n,n,59,,,pliers,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,10,,,,,,,,,,,1395137008,213.7142483,1395137009,214.2282104,,,None,,3,,216.7129601,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,object,trial_images_objects\r_toothbrush.png,n,n,38,,,toothbrush,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,1395137014,219.7120497,1395137015,220.2254989,,,None,,3,,222.7107823,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,animal,trial_images_animals\r_sheep.png,n,n,27,,,sheep1,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,12,,,,,,,,,,,1395137020,225.7098798,1395137021,226.2274295,,,None,,3,,228.7085821,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,animal,trial_images_animals\r_blackbird.png,n,n,4,,,blackbird,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,4,,,,,,,,,,,1395137026,231.7076618,1395137027,232.2214926,1395137028,233.4568461,3,1.235078531,2,,234.7231464,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,animal,trial_images_animals\r_dragonfly.png,n,n,12,,,dragonfly,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,5,,,,,,,,,,,1395137031,236.7224977,1395137032,237.2373188,1395137033,238.671578,3,1.433985979,2,,239.7212909,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,animal,trial_images_animals\r_frog.png,n,v,15,,,frog,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,6,,,,,,,,,,,1395137036,241.7206876,1395137037,242.2316626,1395137038,243.4198347,3,1.187900131,0,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,animal,trial_images_animals\r_bug_common.png,n,n,3,,,bug_common,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,1395137039,244.7198668,1395137040,245.232211,,,None,,3,,247.7183063,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,,,,,,,,,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
2,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,animal,trial_images_animals\r_duck_white.png,n,n,13,,,,duck_white,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,12,,,,,,,1395137053,258.7489129,1395137054,259.2437789,,,None,,1,1395137056,261.7300776,1395137049,254.7377344,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,object,trial_images_objects\r_maracas.png,f,v,60,,,,maracas,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,10,,,,,,,1395137057,262.7297483,1395137058,263.240761,1395137059,264.7121294,3,1.471044782,3,1395137060,265.7285798,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,animal,trial_images_animals\r_goat.png,n,n,16,,,,goat1,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,8,,,,,,,1395137063,268.7276176,1395137064,269.2398766,,,None,,1,1395137066,271.7262635,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,animal,trial_images_animals\r_swan_bewick.png,n,n,30,,,,swan_bewick,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,6,,,,,,,1395137067,272.7260628,1395137068,273.238042,,,None,,2,1395137070,275.7414523,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,object,trial_images_objects\r_corkscrew.png,n,n,41,,,,corkscrew,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,1395137072,277.7409011,1395137073,278.2488516,,,None,,1,1395137075,280.7396279,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,object,trial_images_objects\r_rasp.png,n,n,47,,,,rasp,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,1395137076,281.7394266,1395137077,282.2476953,,,None,,3,1395137079,284.7381555,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,object,trial_images_objects\r_coping_saw.png,n,n,40,,,,coping_saw,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,9,,,,,,,1395137082,287.7372427,1395137083,288.2445528,,,None,,2,1395137085,290.73601,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,object,trial_images_objects\r_colander.png,n,n,36,,,,colander,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,13,,,,,,,1395137087,292.7354407,1395137088,293.2460128,,,None,,1,1395137090,295.7341513,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,object,trial_images_objects\r_pepper_mill.png,n,n,35,,,,peppemill,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,1,,,,,,,1395137091,296.7339342,1395137092,297.2421103,,,None,,1,1395137094,299.7326756,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,animal,trial_images_animals\r_cat_wild.png,n,n,8,,,,cat_wild,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,5,,,,,,,1395137095,300.7325005,1395137096,301.2461743,,,None,,1,1395137098,303.7312315,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,object,trial_images_objects\r_iron.png,n,n,39,,,,iron,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,3,,,,,,,1395137099,304.7310021,1395137100,305.2423674,,,None,,1,1395137102,307.7297362,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,animal,trial_images_animals\r_kangaroo_red.png,f,v,23,,,,kangaroo_red,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,2,,,,,,,1395137103,308.7295361,1395137104,309.2440436,1395137105,310.2287259,3,0.984401043,1,1395137106,311.728371,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,animal,trial_images_animals\r_mole.png,n,n,20,,,,mole,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,11,,,,,,,1395137107,312.728077,1395137108,313.2395567,,,None,,1,1395137110,315.7268331,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,animal,trial_images_animals\r_cricket_green.png,n,v,10,,,,cricket_green,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,0,,,,,,,1395137111,316.7266429,1395137112,317.2399636,,,None,,3,1395137114,319.7420336,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
3,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Mar_18_0959,60.01652141,semact_fmri_builder,1,nc
