selectBlock,category,paths,semantic,action,number,image4,image1,image3,image2,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,RespgetAbsTime,Respgettime,key_resp_2.keys,key_resp_2.rt,JitDur,startJitAbstime,startJittime,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant,
1,animal,trial_images_animals\r_bulldog_whiteenglish.png,n,n,65,,bulldog_whiteenglish,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,12,,,,,,,,,,,,,,,1409136838,162.650929196,1409136839,163.161975438,,,None,,1.5,,165.649578165,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,object,trial_images_objects\r_tin_opener.png,n,n,95,,tin_opener,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,1409136843,167.149214902,1409136843,167.65934597,,,None,,0.5,,170.164545897,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,object,trial_images_objects\r_chopsticks.png,f,n,96,,chopsticks,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,9,,,,,,,,,,,,,,,1409136846,170.66451677,1409136847,171.171481548,1409136848,172.546990411,4,1.3751886115,0.5,,173.663311829,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,animal,trial_images_animals\r_crow.png,n,n,64,,crow,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,13,,,,,,,,,,,,,,,1409136850,174.163162268,1409136850,174.673752734,,,None,,1.5,,177.161904204,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,animal,trial_images_animals\r_moth.png,n,n,66,,moth,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,6,,,,,,,,,,,,,,,1409136854,178.66148329,1409136855,179.171028187,,,None,,1.5,,181.660171197,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,animal,trial_images_animals\r_beaver.png,n,n,63,,beaver,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,5,,,,,,,,,,,,,,,1409136859,183.159784089,1409136859,183.671054598,,,None,,1.5,,186.158470185,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,animal,trial_images_animals\r_highland_cow.png,n,n,69,,highland_cow,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,0,,,,,,,,,,,,,,,1409136863,187.65807704,1409136864,188.16965965,1409136865,189.657141641,4,1.48721546791,0.5,,190.656853687,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,animal,trial_images_animals\r_dog_terrier.png,n,n,68,,dog_terrier,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,2,,,,,,,,,,,,,,,1409136867,191.156705031,1409136867,191.668396907,,,None,,2.5,,194.155427046,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
1,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,animal,trial_images_animals\r_grasshopper_common.png,n,v,70,,,grasshopper_common,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,10,,,,,,,,,,,1409136878,202.685643069,1409136879,203.177279268,,,None,,2.5,1409136881,205.66800512,1409136875,199.677234143,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,animal,trial_images_animals\r_goat2.png,n,n,76,,,goat2,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,13,,,,,,,,,,,1409136884,208.167033652,1409136884,208.67702195,,,None,,0.5,1409136887,211.182370684,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,object,trial_images_objects\r_teapot.png,n,n,109,,,teapot,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,8,,,,,,,,,,,1409136887,211.682341858,1409136888,212.193316263,,,None,,0.5,1409136890,214.681025841,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,object,trial_images_objects\r_scissors.png,n,n,114,,,scissors,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,1409136891,215.181024483,1409136891,215.687876978,,,None,,0.5,1409136894,218.179716314,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,animal,trial_images_animals\r_badger2.png,n,n,61,,,badger2,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,1409136894,218.679660926,1409136895,219.191729195,,,None,,2.5,1409136897,221.678385054,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,animal,trial_images_animals\r_vole.png,n,n,79,,,vole,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,5,5,7,,,,,,,,,,,1409136900,224.177602839,1409136900,224.687894484,,,None,,2.5,1409136903,227.176265391,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,object,trial_images_objects\r_hammer.png,n,v,107,,,hammer,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,6,6,12,,,,,,,,,,,1409136905,229.675536601,1409136906,230.185023847,,,None,,2.5,1409136908,232.674205794,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,object,trial_images_objects\r_squeezer.png,n,n,101,,,squeezer,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,7,7,11,,,,,,,,,,,1409136911,235.173412411,1409136911,235.684403115,,,None,,1.5,1409136914,238.172087641,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,object,trial_images_objects\r_key.png,n,n,108,,,key,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,8,8,4,,,,,,,,,,,1409136915,239.67173796,1409136916,240.179718427,,,None,,1.5,1409136918,242.670361274,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,object,trial_images_objects\r_hairbrush.png,n,n,106,,,hairbrush,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,1409136920,244.169990163,1409136920,244.679027065,,,None,,2.5,1409136923,247.168678674,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,object,trial_images_objects\r_stapler.png,n,n,97,,,stapler,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,10,10,6,,,,,,,,,,,1409136925,249.667924831,1409136926,250.176757992,,,None,,1.5,1409136928,252.666592515,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,animal,trial_images_animals\r_deer_fallow.png,n,n,71,,,deer_fallow,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,11,11,3,,,,,,,,,,,1409136930,254.166190315,1409136930,254.693310981,,,None,,0.5,1409136933,257.181541231,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,object,trial_images_objects\r_african_sickle.png,f,n,94,,,african_sickle,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,12,12,0,,,,,,,,,,,1409136933,257.68151965,1409136934,258.188704469,,,None,,0.5,1409136936,260.680196992,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,animal,trial_images_animals\r_otter.png,n,n,86,,,otter,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,13,13,1,,,,,,,,,,,1409136937,261.180187786,1409136937,261.691281115,,,None,,1.5,1409136940,264.178849433,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
3,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,object,trial_images_objects\r_mop.png,n,n,93,,,,mop,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,10,,,,,1409136944,268.68991288,1409136947,271.709073605,1409136948,272.201357852,,,None,,0.5,,274.691537075,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,animal,trial_images_animals\r_koala.png,f,n,88,,,,koala,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,11,,,,,,,1409136951,275.191379062,1409136951,275.703723513,1409136952,276.490783202,4,0.786756642792,1.5,,278.190232678,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,animal,trial_images_animals\r_fox2.png,n,n,74,,,,fox2,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,1409136955,279.689693142,1409136956,280.199515126,,,None,,2.5,,282.688381652,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,animal,trial_images_animals\r_jerboas.png,f,v,82,,,,jerboas,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,3,3,12,,,,,,,1409136961,285.187590684,1409136961,285.703064297,1409136963,287.119999324,4,1.41666065504,1.5,,288.186410192,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,object,trial_images_objects\r_garden clippers.png,n,n,105,,,,garden_clippers,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,1409136965,289.685864619,1409136966,290.19409712,,,None,,3.5,,292.684589652,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,animal,trial_images_animals\r_swan2.png,n,n,90,,,,swan2,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,1409136972,296.183424403,1409136972,296.695197172,,,None,,0.5,,299.198767472,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,animal,trial_images_animals\r_duck_mallard.png,n,n,73,,,,duck_mallard,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,6,6,8,,,,,,,1409136975,299.698718121,1409136976,300.210739605,,,None,,1.5,,302.697428666,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,object,trial_images_objects\r_rake.png,n,n,112,,,,rake,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,7,7,9,,,,,,,1409136980,304.197057857,1409136980,304.704198306,,,None,,0.5,,307.19571075,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,animal,trial_images_animals\r_hedgehog.png,n,n,80,,,,hedgehog,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,8,8,6,,,,,,,1409136983,307.695672266,1409136984,308.207158589,,,None,,1.5,,310.694360173,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,object,trial_images_objects\r_scoop.png,n,n,110,,,,scoop,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,9,9,13,,,,,,,1409136988,312.193989666,1409136988,312.701709947,1409136990,314.076411391,4,1.37442194102,2.5,,315.19275273,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,animal,trial_images_animals\r_giraffe.png,f,n,67,,,,giraffe,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,10,10,5,,,,,,,1409136993,317.691918901,1409136994,318.201879731,,,None,,1.5,,320.690575416,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,animal,trial_images_animals\r_sheep_blackfaced.png,n,n,87,,,,sheep_blackfaced,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,11,11,0,,,,,,,1409136998,322.190144843,1409136998,322.700673131,,,None,,2.5,,325.188818866,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,animal,trial_images_animals\r_wallaby.png,f,v,83,,,,wallaby,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,12,12,3,,,,,,,1409137003,327.688094604,1409137004,328.197506389,1409137005,329.320614652,4,1.12283841937,0.5,,330.686807563,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,animal,trial_images_animals\r_toad.png,n,v,75,,,,toad,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,13,13,7,,,,,,,1409137007,331.186706296,1409137007,331.703926047,1409137008,332.56936421,4,0.865169828076,1.5,,334.185495017,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,,,,,,,,,,,,,,0,3,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
2,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Aug_27_1151,60.0079514868,semact_fmri_builder,001,ls016,
